22:50:18.981543 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 78165:79533, ack 1, win 2048, options [nop,nop,TS val 1330161737 ecr 1488063660], length 1368
22:50:18.981544 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 79533:80901, ack 1, win 2048, options [nop,nop,TS val 1330161737 ecr 1488063660], length 1368
22:50:18.981545 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 80901:82269, ack 1, win 2048, options [nop,nop,TS val 1330161737 ecr 1488063660], length 1368
22:50:18.981546 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 82269:82290, ack 1, win 2048, options [nop,nop,TS val 1330161737 ecr 1488063660], length 21
22:50:19.028252 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 82290:83658, ack 1, win 2048, options [nop,nop,TS val 1330161782 ecr 1488063664], length 1368
22:50:19.028257 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 83658:85026, ack 1, win 2048, options [nop,nop,TS val 1330161782 ecr 1488063664], length 1368
22:50:19.028258 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 85026:86394, ack 1, win 2048, options [nop,nop,TS val 1330161782 ecr 1488063664], length 1368
22:50:19.028259 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 86394:87762, ack 1, win 2048, options [nop,nop,TS val 1330161782 ecr 1488063664], length 1368
22:50:19.028260 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 87762:89130, ack 1, win 2048, options [nop,nop,TS val 1330161782 ecr 1488063664], length 1368
22:50:19.028261 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 89130:90498, ack 1, win 2048, options [nop,nop,TS val 1330161782 ecr 1488063664], length 1368
22:50:19.028262 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 90498:90519, ack 1, win 2048, options [nop,nop,TS val 1330161782 ecr 1488063664], length 21
22:50:19.037263 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 90519:91887, ack 1, win 2048, options [nop,nop,TS val 1330161791 ecr 1488063664], length 1368
22:50:19.037269 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 91887:93255, ack 1, win 2048, options [nop,nop,TS val 1330161791 ecr 1488063664], length 1368
22:50:19.037271 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 93255:94623, ack 1, win 2048, options [nop,nop,TS val 1330161791 ecr 1488063664], length 1368
22:50:19.037272 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 94623:95991, ack 1, win 2048, options [nop,nop,TS val 1330161791 ecr 1488063664], length 1368
22:50:19.037274 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 95991:97359, ack 1, win 2048, options [nop,nop,TS val 1330161791 ecr 1488063664], length 1368
22:50:19.037275 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 97359:98727, ack 1, win 2048, options [nop,nop,TS val 1330161791 ecr 1488063664], length 1368
22:50:19.037276 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 98727:98748, ack 1, win 2048, options [nop,nop,TS val 1330161791 ecr 1488063664], length 21
22:50:19.060734 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 98748:100116, ack 1, win 2048, options [nop,nop,TS val 1330161814 ecr 1488063723], length 1368
22:50:19.060738 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 100116:101484, ack 1, win 2048, options [nop,nop,TS val 1330161814 ecr 1488063723], length 1368
22:50:19.060739 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 101484:102852, ack 1, win 2048, options [nop,nop,TS val 1330161814 ecr 1488063723], length 1368
22:50:19.060740 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 102852:104220, ack 1, win 2048, options [nop,nop,TS val 1330161814 ecr 1488063723], length 1368
22:50:19.060741 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 104220:105588, ack 1, win 2048, options [nop,nop,TS val 1330161814 ecr 1488063723], length 1368
22:50:19.060742 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 105588:106956, ack 1, win 2048, options [nop,nop,TS val 1330161814 ecr 1488063723], length 1368
22:50:19.060743 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 106956:106977, ack 1, win 2048, options [nop,nop,TS val 1330161814 ecr 1488063723], length 21
22:50:19.064002 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 106977:108345, ack 1, win 2048, options [nop,nop,TS val 1330161817 ecr 1488063723], length 1368
22:50:19.064008 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 108345:109713, ack 1, win 2048, options [nop,nop,TS val 1330161817 ecr 1488063723], length 1368
